07/02/24,0.5,64,50
07/03/24,5.0,82,54
07/04/24,2.3,71,54
07/05/24,9.6,85,60
07/06/24,7.5,75,59
07/07/24,4.5,65,54
07/08/24,4.3,96,66
07/09/24,1.5,65,53
07/10/24,8.2,62,51
07/11/24,6.7,73,50
07/12/24,3.2,75,54
07/13/24,2.9,65,55
07/14/24,6.0,90,75
07/15/24,9.8,93,61
07/16/24,1.0,76,58
07/17/24,3.2,76,64
07/18/24,7.8,99,80
07/19/24,4.5,81,63
07/20/24,6.4,64,53
07/21/24,0.6,66,55
07/22/24,8.6,99,85
07/23/24,8.9,87,67
07/24/24,4.0,78,64
07/25/24,2.0,70,57
07/26/24,5.4,98,82
07/27/24,6.5,81,62
07/28/24,9.4,97,67
07/29/24,2.3,95,54
07/30/24,2.7,61,50
07/31/24,6.4,84,50
08/01/24,9.9,64,54
08/02/24,5.3,73,63
08/03/24,5.6,88,66
08/04/24,3.9,61,51
08/05/24,5.8,88,62
08/06/24,7.7,68,53
08/07/24,8.9,84,53
08/08/24,5.5,87,76
08/09/24,3.0,64,52
08/10/24,7.5,63,52
08/11/24,3.9,68,58
08/12/24,8.2,78,65
08/13/24,3.0,69,54
08/14/24,2.6,74,64
08/15/24,3.3,89,59
08/16/24,6.5,76,56
08/17/24,2.7,81,65
08/18/24,4.8,73,53
08/19/24,9.3,84,66
08/20/24,8.2,60,50
08/21/24,2.9,62,52
08/22/24,6.1,97,83
08/23/24,3.4,82,62
08/24/24,7.1,99,82
08/25/24,8.0,61,50
08/26/24,4.3,75,64
08/27/24,9.9,98,68
08/28/24,6.7,69,51
08/29/24,4.7,84,60
08/30/24,8.2,64,50
08/31/24,8.7,100,61
09/01/24,3.0,92,74
09/02/24,9.6,66,52
09/03/24,8.2,71,52
09/04/24,7.9,62,52
09/05/24,0.9,78,66
09/06/24,6.9,95,83
09/07/24,3.7,70,50
09/08/24,5.9,88,57
09/09/24,9.8,90,60
09/10/24,0.7,97,65
09/11/24,6.5,71,54
09/12/24,10.0,90,79
09/13/24,1.6,93,65
09/14/24,1.3,91,59
09/15/24,9.0,60,50
09/16/24,6.8,67,53
09/17/24,9.0,92,77
09/18/24,1.6,71,56
09/19/24,5.0,70,51
09/20/24,1.6,78,64
09/21/24,5.3,85,51
09/22/24,4.9,69,58
09/23/24,1.2,80,56
09/24/24,4.7,72,53
09/25/24,1.6,72,62
09/26/24,1.5,63,50
09/27/24,1.1,82,56
09/28/24,8.2,69,55
09/29/24,7.1,63,52
09/30/24,7.1,71,50
10/01/24,7.6,82,72
10/02/24,1.0,99,51
10/03/24,2.8,80,61
10/04/24,0.6,70,53
10/05/24,9.3,65,55
10/06/24,1.3,99,86
10/07/24,5.7,71,60
10/08/24,0.0,64,51
10/09/24,7.3,81,68
10/10/24,7.2,61,51
10/11/24,0.1,77,58
10/12/24,1.6,98,62
10/13/24,8.1,75,63
10/14/24,8.7,78,59
10/15/24,2.8,99,63
10/16/24,9.1,82,56
10/17/24,4.3,90,61
10/18/24,5.5,92,64
10/19/24,3.9,88,67
10/20/24,8.0,89,76
10/21/24,4.6,97,84
10/22/24,6.4,87,63
10/23/24,5.5,86,52
10/24/24,1.3,89,50
10/25/24,0.2,94,81
10/26/24,9.5,63,50
10/27/24,1.6,96,58
10/28/24,4.8,100,52
10/29/24,1.7,84,50
10/30/24,4.1,97,74
10/31/24,7.2,67,54
11/01/24,7.9,79,57
11/02/24,4.0,90,79
11/03/24,9.1,64,50
11/04/24,2.6,70,55
11/05/24,7.1,92,73
11/06/24,9.7,78,68
11/07/24,7.8,99,57
11/08/24,4.1,83,52
11/09/24,7.7,64,50
11/10/24,6.4,74,59
11/11/24,7.5,97,50
11/12/24,4.0,75,65
11/13/24,6.4,92,79
11/14/24,6.5,74,60
11/15/24,2.8,94,74
11/16/24,3.4,100,78
11/17/24,4.7,82,66
11/18/24,7.5,82,55
11/19/24,0.3,95,85
11/20/24,4.0,75,53
11/21/24,0.4,97,62
11/22/24,8.1,84,54
11/23/24,0.7,66,55
